"city08","co2TailpipeGpm","cylinders","displ","drive","fuelType1","highway08","trany","VClass","year","tCharger","sCharger","startStop"
15,555.4375,6,4.3,"Rear-Wheel Drive","Regular Gasoline",17,"Automatic","Van",1985,"N","N","N"
21,386.3913043478,4,2.2,"Front-Wheel Drive","Regular Gasoline",28,"Automatic","Small Station Wagon",1993,"N","N","N"
18,423.1904761905,6,3.1,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Small Station Wagon",1993,"N","N","N"
13,592.4666666667,6,3,"Front-Wheel Drive","Premium Gasoline",19,"Automatic","Small Station Wagon",1993,"N","N","N"
22,355.48,4,1.9,"Front-Wheel Drive","Regular Gasoline",30,"Automatic","Small Station Wagon",1993,"N","N","N"
25,317.3928571429,4,1.9,"Front-Wheel Drive","Regular Gasoline",33,"Manual","Small Station Wagon",1993,"N","N","N"
18,423.1904761905,4,2.2,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Small Station Wagon",1993,"N","N","N"
20,403.9545454545,4,2.2,"Front-Wheel Drive","Regular Gasoline",26,"Manual","Small Station Wagon",1993,"N","N","N"
22,355.48,4,1.9,"Front-Wheel Drive","Regular Gasoline",30,"Automatic","Small Station Wagon",1993,"N","N","N"
25,317.3928571429,4,1.9,"Front-Wheel Drive","Regular Gasoline",33,"Manual","Small Station Wagon",1993,"N","N","N"
22,341.8076923077,4,1.9,"Front-Wheel Drive","Regular Gasoline",32,"Automatic","Small Station Wagon",1993,"N","N","N"
14,592.4666666667,6,4.3,"Rear-Wheel Drive","Regular Gasoline",17,"Manual","Van",1985,"N","N","N"
21,370.2916666667,4,1.9,"Front-Wheel Drive","Regular Gasoline",30,"Automatic","Small Station Wagon",1993,"N","N","N"
24,317.3928571429,4,1.9,"Front-Wheel Drive","Regular Gasoline",33,"Manual","Small Station Wagon",1993,"N","N","N"
21,355.48,4,1.9,"Front-Wheel Drive","Regular Gasoline",32,"Manual","Small Station Wagon",1993,"N","N","N"
19,403.9545454545,4,2.2,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Small Station Wagon",1993,"N","N","N"
20,386.3913043478,4,2.2,"Front-Wheel Drive","Regular Gasoline",28,"Manual","Small Station Wagon",1993,"N","N","N"
18,423.1904761905,4,2.2,"4-Wheel Drive","Regular Gasoline",24,"Automatic","Small Station Wagon",1993,"N","N","N"
18,423.1904761905,4,2.2,"4-Wheel Drive","Regular Gasoline",24,"Manual","Small Station Wagon",1993,"N","N","N"
16,493.7222222222,4,2.2,"4-Wheel Drive","Premium Gasoline",21,"Automatic","Small Station Wagon",1993,"Y","N","N"
21,403.9545454545,4,1.8,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Small Station Wagon",1993,"N","N","N"
22,370.2916666667,4,1.8,"Front-Wheel Drive","Regular Gasoline",28,"Manual","Small Station Wagon",1993,"N","N","N"
11,740.5833333333,8,5,"Rear-Wheel Drive","Regular Gasoline",12,"Automatic","Van",1985,"N","N","N"
23,355.48,4,1.8,"Front-Wheel Drive","Regular Gasoline",30,"Automatic","Small Station Wagon",1993,"N","N","N"
23,341.8076923077,4,1.8,"Front-Wheel Drive","Regular Gasoline",30,"Manual","Small Station Wagon",1993,"N","N","N"
18,423.1904761905,4,2.2,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
17,467.7368421053,6,3.3,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize-Large Station Wagon",1993,"N","N","N"
